name,imagePath,sugar,carb,openai_sugar,gemini_sugar,openai_carb,gemini_carb
นมถั่วเหลือง ,f42.jpeg,1,0,0,1,0,0
นมวัวรสช็อคโกแลต,new11.jpeg,20,0,18,20,0,0
นมจืด,new12.jpeg,9,0,0,9,0,0
ลิปตัน,new14.jpeg,22,0,12,22,0,0
ชาเขียว,img47.jpeg,40,0,30,45,0,0
นมสดเย็น,img78.jpeg,10,0,15,30,0,0
นมสตอเบอร์รี่,img80.jpeg,60,0,40,25,0,0
โกโก้,img82.jpeg,30,0,35,35,0,0
ชาเขียว,img89.jpeg,40,0,20,35,0,0
ชาไทย,img188.jpeg,40,0,30,45,0,0
ชาเขียวสตอเบอร์รี่,img202.jpeg,70,0,30,45,0,0
ชานมไต้หวัน,img207.jpeg,55,0,30,35,0,0
น้ำเสาวรส,add66.jpeg,10,0,30,35,0,0
โกโก้ชาเขียว,add74.jpeg,50,0,20,45,0,0
ชาไทย,add84.jpeg,40,0,20,40,0,0
ชาเขียว,add86.jpeg,40,0,30,25,0,0
โกโก้สตอเบอร์รี่,add94.jpeg,50,0,40,45,0,0
นมเวย์โปรตีน,f8.jpeg,5,0,3,3,0,0
