name,imagePath,sugar,carb,openai_sugar,gemini_sugar,openai_carb,gemini_carb
สปาเก็ตตี้ซอสมะเขือเทศ,add4.jpeg,0,70,0,0,75,123
สเต๊กแซลมอน,add11.jpeg,0,10,0,0,5,15
สปาเก็ตตี้พริกแห้งกุ้ง,add24.jpeg,0,60,0,0,70,65
ขนมปังไส้กรอก,add26.jpeg,0,53,0,0,40,123
ข้าวหน้าแซลมอน,add30.jpeg,0,30,0,0,0,45
โรเซ่ต๊อกโบกี คิมบับ,add32.jpeg,0,120,0,0,95,123
สปาเก็ตตี้พริกแห้งไส้กรอก,add39.jpeg,0,60,0,0,60,65
ข้าวหน้าแซลมอน,add48.jpeg,0,35,0,0,35,45
ทาโกะยากิ,img3.jpeg,0,36,0,0,18,123
มักกะโรนีชีส,img4.jpeg,0,36,0,0,45,123
สปาเก็ตตี้ผัดกุ้ง,img7.jpeg,0,40,0,0,50,123
สลัดไก่ทอดนักเก็ต,img8.jpeg,0,8,0,0,30,35
ข้าวสเต๊กปลาแซลมอน,img22.jpeg,0,40,0,0,45,45
เกี๊ยวหมู,img57.jpeg,0,25,0,0,26,45
ทาโกะยากิ,img58.jpeg,0,36,0,0,24,123
ข้าวหน้าปลาไหลย่าง,img61.jpeg,0,70,0,0,50,123
ก๋วยเตี๋ยวหลอด,img71.jpeg,0,20,0,0,25,45
เส้นใหญ่ผัดซีอิ๊ว,img76.jpeg,0,30,0,0,50,65
ปอเปี๊ยะทอด ,img157.jpeg,0,35,0,0,30,35
เฟรนช์ฟรายส์ราดชีส,img164.jpeg,0,42,0,0,45,123
แกงกิมจิ,img231.jpeg,0,15,0,0,15,15
เฟรนช์ฟรายส์,f19.jpeg,0,25,0,0,36,45
สปาเก็ตตี้คาโบนาร่ากุ้งทอด,f26.jpeg,0,45,0,0,75,123
