name,imagePath,sugar,carb,openai_sugar,gemini_sugar,openai_carb,gemini_carb
ไอศกรีมสเวนเซ่น กล้วยใส่วิปครีม,add1.jpeg,34.5,56,50,80,70,120
โทสต์ ไอศกรีม กล้วย องุ่น บลูเบอรี่ แอปเปิ้ล สตรอเบอรี่,add9.jpeg,44,95,45,80,90,150
เค้กช็อคโกแลต,add14.jpeg,38.3,60.3,30,45,50,65
แยมโรลสตรอเบอรี่ กีวี่,add14.jpeg,11.25,18.49,25,20,45,35
เค้กแยมบลูเบอรี่,add15.jpeg,10,16,15,30,30,45
ไอติม คุกกี้ คาราเมล,add62.jpeg,45,45,45,65,90,85
น้ำแข็งใสบลูฮาวาย,add63.jpeg,60,20,35,40,45,45
เครป,add64.jpeg,60,75,30,45,70,75
ไอติม,f46.jpeg,20,35,20,20,30,30
ขนมปังชาเขียว,f53.jpeg,20,30,15,20,40,45
ไอติมโอริโอ้,f74.jpeg,18,26,20,30,28,45
ไอติมทับทิมกรอบ,f82.jpeg,58,90,25,45,35,65
ทาโกะยากิ,img3.jpeg,40,40,3,8,20,35
เครปเย็น,img39.jpeg,80,80,25,50,45,75
เค้กสตรอวเบอร์รี,img41.jpeg,60,25,15,25,30,35
วาฟเฟิลลูกเกด,img60.jpeg,60,116.42,20,25,60,60
น้ำแข็งใส+วุ้นมะพร้าว/,img63.jpeg,70,70,30,55,45,65
เค้กช็อกโกแลต+บราวนี,img68.jpeg,85,110,30,50,45,65
ไอศกรีม 2 tone,img69.jpeg,38.85,38.85,30,25,45,35
ขนมปังไส้กรอก,img70.jpeg,12,53,6,8,40,35
บิงซูซอสสตรอเบอรรี,img74.jpeg,70,70,35,55,55,65
เครปเย็น,img75.jpeg,80,80,20,30,35,50
เฟรนฟรายราดชีส,img226.jpeg,5,50,2,5,35,45
เครปเย็น,img229.jpeg,40,80,35,35,45,65
